day,S,E,I,R,I_rep,new_rep
0,31849149.0,0.0,1000.0,0.0,100.0,10.0
1,31848988.024638776,146.23652642029967,919.0853872181056,95.65344758403931,91.90853872181056,9.190853872181057
2,31848839.60902087,255.58663088420354,868.9647125568883,184.8396356837618,86.89647125568884,8.689647125568884
3,31848698.68884413,339.0753466770116,841.0519017543388,270.18390743893383,84.10519017543389,8.41051901754339
4,31848561.69029702,404.45468686583814,829.2692628537181,353.5857532601483,82.92692628537182,8.292692628537182
5,31848426.044026118,457.2139256601161,829.3115016144429,436.43054660888043,82.9311501614443,8.29311501614443
6,31848289.871963944,501.2582374470684,838.1301948387108,519.7396037749048,83.81301948387109,8.38130194838711
7,31848151.775547687,539.3767905506867,853.571052419034,604.2766093440349,85.35710524190341,8.53571052419034
8,31848010.689615145,573.56991574092,874.1169983940247,690.6234707184786,87.41169983940247,8.741169983940248
9,31847865.78057802,605.2790726561786,898.7059226734391,779.2344266471247,89.87059226734391,8.987059226734392
10,31847716.374918636,635.5490872210366,926.6013257583347,870.4746683821937,92.66013257583347,9.266013257583348
11,31847561.90860725,665.1430427845157,957.3003859929505,964.6479639745334,95.73003859929506,9.573003859929505
12,31847401.890408207,694.6254014939717,990.467361313502,1062.0168289830656,99.0467361313502,9.90467361313502
13,31847235.876542225,724.4189501953712,1025.8879924034838,1162.8165151731007,102.5887992403484,10.25887992403484
14,31847063.452111986,754.8460695143946,1063.436554005927,1267.2652644926995,106.34365540059271,10.634365540059271
15,31846884.216011852,786.1616170044272,1103.0497753825516,1375.5725957544287,110.30497753825517,11.030497753825518
16,31846697.77318611,818.5690393141132,1144.714198366774,1487.9435762048654,114.47141983667741,11.447141983667741
17,31846503.724339347,852.2415841124227,1188.4497032758559,1604.584373260047,118.8449703275856,11.88449703275856
18,31846301.662328713,887.3286921846604,1234.3047736030537,1725.7042054982223,123.43047736030537,12.343047736030538
19,31846091.166727997,923.9655813895074,1282.3494866909818,1851.5182039213903,128.2349486690982,12.82349486690982
20,31845871.799225565,962.2812351004841,1332.6697436460443,1982.2497956789375,133.26697436460444,13.326697436460444
21,31845643.056520093,1002.4416872865056,1385.3703320383563,2118.131460576303,138.53703320383565,13.853703320383566
22,31845404.408676706,1044.605920837268,1440.5779830914298,2259.407419360758,144.05779830914298,14.405779830914298
23,31845155.341858868,1088.891878752501,1498.4310425154938,2406.3352198608236,149.8431042515494,14.98431042515494
24,31844895.312009618,1135.424344953858,1559.0769320563966,2559.186713363673,155.90769320563967,15.590769320563968
