day,city,S,E,I,R
0,Houston,6046382.00,0.00,10.00,0.00
0,Dallas,5843632.00,0.00,0.00,0.00
0,San Antonio,2069843.00,0.00,0.00,0.00
0,Austin,1915031.00,0.00,0.00,0.00
0,Fort Worth,941311.00,0.00,0.00,0.00
0,El Paso,862494.00,0.00,0.00,0.00
0,McAllen,810034.00,0.00,0.00,0.00
0,Denton,455152.00,0.00,0.00,0.00
0,Arlington,394769.00,0.00,0.00,0.00
0,Corpus Christi,339432.00,0.00,0.00,0.00
0,Plano,287339.00,0.00,0.00,0.00
0,Lubbock,283024.00,0.00,0.00,0.00
0,Killeen,261099.00,0.00,0.00,0.00
0,Laredo,255949.00,0.00,0.00,0.00
0,Irving,255036.00,0.00,0.00,0.00
0,Garland,245298.00,0.00,0.00,0.00
0,Brownsville,223416.00,0.00,0.00,0.00
0,College Station,215768.00,0.00,0.00,0.00
0,Frisco,210238.00,0.00,0.00,0.00
0,Amarillo,205100.00,0.00,0.00,0.00
0,Galveston,202810.00,0.00,0.00,0.00
0,McKinney,202314.00,0.00,0.00,0.00
0,Grand Prairie,198564.00,0.00,0.00,0.00
0,Waco,197594.00,0.00,0.00,0.00
0,Odessa,162648.00,0.00,0.00,0.00
0,Pasadena,149345.00,0.00,0.00,0.00
0,Mesquite,148848.00,0.00,0.00,0.00
0,Beaumont,146554.00,0.00,0.00,0.00
0,Midland,143714.00,0.00,0.00,0.00
0,Carrollton,132741.00,0.00,0.00,0.00
0,Tyler,131037.00,0.00,0.00,0.00
0,Lewisville,128313.00,0.00,0.00,0.00
0,Abilene,127130.00,0.00,0.00,0.00
0,Pearland,125983.00,0.00,0.00,0.00
0,Round Rock,124288.00,0.00,0.00,0.00
0,Temple,123932.00,0.00,0.00,0.00
0,Richardson,118269.00,0.00,0.00,0.00
0,The Woodlands,116916.00,0.00,0.00,0.00
0,Harlingen,115767.00,0.00,0.00,0.00
0,League City,114885.00,0.00,0.00,0.00
0,Port Arthur,114860.00,0.00,0.00,0.00
0,Longview,112687.00,0.00,0.00,0.00
0,Sugar Land,109735.00,0.00,0.00,0.00
0,Allen,107684.00,0.00,0.00,0.00
0,Edinburg,102561.00,0.00,0.00,0.00
0,Wichita Falls,102558.00,0.00,0.00,0.00
0,San Angelo,99507.00,0.00,0.00,0.00
0,New Braunfels,98700.00,0.00,0.00,0.00
0,Conroe,96976.00,0.00,0.00,0.00
0,Atascocita,93926.00,0.00,0.00,0.00
0,Mission,86234.00,0.00,0.00,0.00
0,Bryan,86169.00,0.00,0.00,0.00
0,Baytown,84538.00,0.00,0.00,0.00
0,Pharr,79809.00,0.00,0.00,0.00
0,Georgetown,78803.00,0.00,0.00,0.00
0,Texarkana,78541.00,0.00,0.00,0.00
0,Flower Mound,77886.00,0.00,0.00,0.00
0,Cedar Park,77474.00,0.00,0.00,0.00
0,Mansfield,75398.00,0.00,0.00,0.00
0,Missouri City,75234.00,0.00,0.00,0.00
0,San Marcos,74469.00,0.00,0.00,0.00
0,Sherman,73984.00,0.00,0.00,0.00
0,North Richland Hills,70338.00,0.00,0.00,0.00
0,Leander,67880.00,0.00,0.00,0.00
0,Spring,67103.00,0.00,0.00,0.00
0,Victoria,66523.00,0.00,0.00,0.00
0,Pflugerville,65162.00,0.00,0.00,0.00
0,Rowlett,64139.00,0.00,0.00,0.00
0,Euless,60373.00,0.00,0.00,0.00
0,Wylie,58991.00,0.00,0.00,0.00
0,DeSoto,55896.00,0.00,0.00,0.00
0,Texas City,54159.00,0.00,0.00,0.00
0,Kyle,52439.00,0.00,0.00,0.00
0,Little Elm,51426.00,0.00,0.00,0.00
0,Burleson,50981.00,0.00,0.00,0.00
0,Grapevine,50875.00,0.00,0.00,0.00
0,Rockwall,49605.00,0.00,0.00,0.00
0,Bedford,49191.00,0.00,0.00,0.00
0,Cedar Hill,48547.00,0.00,0.00,0.00
0,Huntsville,46917.00,0.00,0.00,0.00
0,Haltom City,45681.00,0.00,0.00,0.00
0,Keller,45598.00,0.00,0.00,0.00
0,The Colony,44916.00,0.00,0.00,0.00
0,Waxahachie,43591.00,0.00,0.00,0.00
0,Channelview,43536.00,0.00,0.00,0.00
0,Schertz,43128.00,0.00,0.00,0.00
0,Coppell,42029.00,0.00,0.00,0.00
0,Weslaco,41437.00,0.00,0.00,0.00
0,Friendswood,40827.00,0.00,0.00,0.00
0,Lancaster,40753.00,0.00,0.00,0.00
0,Hurst,39912.00,0.00,0.00,0.00
0,Duncanville,39879.00,0.00,0.00,0.00
0,Rosenberg,39467.00,0.00,0.00,0.00
0,Mission Bend,37280.00,0.00,0.00,0.00
0,Midlothian,37256.00,0.00,0.00,0.00
0,Copperas Cove,37149.00,0.00,0.00,0.00
0,Farmers Branch,36254.00,0.00,0.00,0.00
0,Socorro,36237.00,0.00,0.00,0.00
0,La Porte,36077.00,0.00,0.00,0.00
0,San Juan,35674.00,0.00,0.00,0.00
0,Timberwood Park,34980.00,0.00,0.00,0.00
0,Del Rio,34638.00,0.00,0.00,0.00
0,Prosper,34567.00,0.00,0.00,0.00
0,Lufkin,34158.00,0.00,0.00,0.00
0,Weatherford,33924.00,0.00,0.00,0.00
0,Cibolo,33829.00,0.00,0.00,0.00
0,Deer Park,33823.00,0.00,0.00,0.00
0,Harker Heights,33595.00,0.00,0.00,0.00
0,Cleburne,32966.00,0.00,0.00,0.00
0,Canyon Lake,32924.00,0.00,0.00,0.00
0,Hutto,32188.00,0.00,0.00,0.00
0,Nacogdoches,32104.00,0.00,0.00,0.00
0,West Odessa,31985.00,0.00,0.00,0.00
0,Seguin,31789.00,0.00,0.00,0.00
0,Southlake,31044.00,0.00,0.00,0.00
0,Greenville,29936.00,0.00,0.00,0.00
0,Sachse,29075.00,0.00,0.00,0.00
0,Converse,28764.00,0.00,0.00,0.00
0,Forney,28222.00,0.00,0.00,0.00
0,Eagle Pass,28186.00,0.00,0.00,0.00
0,Lake Jackson,27902.00,0.00,0.00,0.00
0,Alvin,27700.00,0.00,0.00,0.00
0,Balch Springs,27181.00,0.00,0.00,0.00
0,Celina,27141.00,0.00,0.00,0.00
0,Fulshear,26986.00,0.00,0.00,0.00
0,Colleyville,25906.00,0.00,0.00,0.00
0,Fort Hood,25786.00,0.00,0.00,0.00
0,Denison,25347.00,0.00,0.00,0.00
0,Corsicana,25344.00,0.00,0.00,0.00
0,University Park,25104.00,0.00,0.00,0.00
0,Kingsville,25061.00,0.00,0.00,0.00
0,Pecan Grove,24798.00,0.00,0.00,0.00
0,Big Spring,24769.00,0.00,0.00,0.00
0,Paris,24678.00,0.00,0.00,0.00
0,San Benito,24677.00,0.00,0.00,0.00
0,Cloverleaf,24630.00,0.00,0.00,0.00
0,Kerrville,24532.00,0.00,0.00,0.00
0,Saginaw,24467.00,0.00,0.00,0.00
0,Benbrook,24430.00,0.00,0.00,0.00
0,Fresno,24087.00,0.00,0.00,0.00
0,Katy,23900.00,0.00,0.00,0.00
0,Belton,23769.00,0.00,0.00,0.00
0,Marshall,23646.00,0.00,0.00,0.00
0,Watauga,23336.00,0.00,0.00,0.00
0,Horizon City,23069.00,0.00,0.00,0.00
0,Corinth,22868.00,0.00,0.00,0.00
0,Dickinson,21612.00,0.00,0.00,0.00
0,Ennis,21546.00,0.00,0.00,0.00
0,Stephenville,21345.00,0.00,0.00,0.00
0,Murphy,21001.00,0.00,0.00,0.00
0,Anna,20975.00,0.00,0.00,0.00
0,Princeton,20966.00,0.00,0.00,0.00
0,Brushy Creek,20953.00,0.00,0.00,0.00
0,Fate,20757.00,0.00,0.00,0.00
0,Portland,20369.00,0.00,0.00,0.00
0,Alamo,20008.00,0.00,0.00,0.00
0,Plainview,19893.00,0.00,0.00,0.00
0,Universal City,19853.00,0.00,0.00,0.00
0,Angleton,19597.00,0.00,0.00,0.00
0,Boerne,19509.00,0.00,0.00,0.00
0,Alton,19205.00,0.00,0.00,0.00
0,Orange,19178.00,0.00,0.00,0.00
0,Cinco Ranch,19139.00,0.00,0.00,0.00
0,Lakeway,19130.00,0.00,0.00,0.00
0,Terrell,19019.00,0.00,0.00,0.00
0,Crowley,19007.00,0.00,0.00,0.00
0,Seagoville,18968.00,0.00,0.00,0.00
0,Palestine,18888.00,0.00,0.00,0.00
0,La Marque,18833.00,0.00,0.00,0.00
0,Brownwood,18805.00,0.00,0.00,0.00
0,Steiner Ranch,18683.00,0.00,0.00,0.00
0,Nederland,18475.00,0.00,0.00,0.00
0,White Settlement,18119.00,0.00,0.00,0.00
0,Brenham,18086.00,0.00,0.00,0.00
0,Bay City,17816.00,0.00,0.00,0.00
0,Alice,17797.00,0.00,0.00,0.00
0,Gainesville,17688.00,0.00,0.00,0.00
0,Melissa,17497.00,0.00,0.00,0.00
0,Royse City,17357.00,0.00,0.00,0.00
0,Stafford,17279.00,0.00,0.00,0.00
0,Glenn Heights,17175.00,0.00,0.00,0.00
0,Addison,17128.00,0.00,0.00,0.00
0,Bellaire,17116.00,0.00,0.00,0.00
0,Groves,17021.00,0.00,0.00,0.00
0,Manor,16917.00,0.00,0.00,0.00
0,Donna,16774.00,0.00,0.00,0.00
0,Taylor,16767.00,0.00,0.00,0.00
0,Pampa,16735.00,0.00,0.00,0.00
0,Humble,16489.00,0.00,0.00,0.00
0,Mercedes,16449.00,0.00,0.00,0.00
0,Hewitt,16244.00,0.00,0.00,0.00
0,Sulphur Springs,16185.00,0.00,0.00,0.00
0,Mount Pleasant,16061.00,0.00,0.00,0.00
0,Gatesville,16058.00,0.00,0.00,0.00
0,South Houston,16017.00,0.00,0.00,0.00
0,Highland Village,16004.00,0.00,0.00,0.00
0,Red Oak,15909.00,0.00,0.00,0.00
0,Rendon,15894.00,0.00,0.00,0.00
0,Live Oak,15875.00,0.00,0.00,0.00
0,Palmview,15650.00,0.00,0.00,0.00
0,Buda,15487.00,0.00,0.00,0.00
0,Aldine,15434.00,0.00,0.00,0.00
0,Canyon,15398.00,0.00,0.00,0.00
0,Uvalde,15344.00,0.00,0.00,0.00
0,Rio Grande City,15258.00,0.00,0.00,0.00
0,Mineral Wells,15130.00,0.00,0.00,0.00
0,West University Place,14907.00,0.00,0.00,0.00
0,Hereford,14874.00,0.00,0.00,0.00
0,Lockhart,14708.00,0.00,0.00,0.00
0,Dumas,14362.00,0.00,0.00,0.00
0,Hidalgo,14250.00,0.00,0.00,0.00
0,Jacksonville,14186.00,0.00,0.00,0.00
0,Wells Branch,14156.00,0.00,0.00,0.00
0,Forest Hill,13923.00,0.00,0.00,0.00
0,Lumberton,13803.00,0.00,0.00,0.00
0,Azle,13734.00,0.00,0.00,0.00
0,Port Neches,13627.00,0.00,0.00,0.00
0,Seabrook,13617.00,0.00,0.00,0.00
0,Beeville,13518.00,0.00,0.00,0.00
